index,open_btc,high_btc,low_btc,close_btc,volume_btc,num_trades_btc,buy_volume_btc,open_eth,high_eth,low_eth,close_eth,volume_eth,num_trades_eth,buy_volume_eth,sum_volume,count,avg,min,max,open_keep,close_keep,high_keep,low_keep,vol_keep,volcon_keep,open,close,high,low,volume,volumeConverted,average,cnt
2020-07-12,9234.02000000,9345.00000000,9157.50000000,9302.75000000,30872.70228600,484875,14980.18770400,239.19000000,244.00000000,236.52000000,242.79000000,469315.11720000,201729,238720.16445000,75059856.56,35,2144567.3302857145,82.59,75000000.0,0.002192,0.002236,0.002407,0.001984,121398.62,260.13140523,0.508139504391,0.521117347099,0.550859043393,0.483970192481,1328333.7539723855,669037.459527665,0.5036666858211701,139.0
2020-07-13,9303.31000000,9343.82000000,9200.89000000,9242.62000000,42740.06911500,642552,19689.44333700,242.76000000,245.33000000,237.33000000,239.50000000,604093.04245000,240032,304677.24908000,526443.8399999999,122,4315.113442622949,0.51,90692.86,0.002224,0.002493,0.002565,0.002101,117841.45,276.78215497,0.521117347099,0.582960373628,0.598188714004,0.508908118271,2576360.208960419,1412929.63691433,0.548420842706796,216.0
2020-07-14,9242.61000000,9279.54000000,9113.00000000,9255.85000000,45772.55250900,613139,21666.53695100,239.50000000,242.09000000,237.00000000,240.44000000,426320.89188000,172704,212486.68184000,168174.6,35,4804.988571428572,100.0,90000.0,0.002498,0.002414,0.0026,0.002322,100848.14,250.32126340,0.584819884968,0.577805433872,0.602481041438,0.550085395658,727290.3687781331,424147.770972499,0.5831890386298919,92.0
2020-07-15,9255.85000000,9276.49000000,9160.57000000,9197.60000000,39053.57966500,554780,17977.67974700,240.45000000,241.45000000,236.83000000,238.61000000,368350.66518000,154984,178198.01400000,181120156.50999996,72,2515557.729305555,4.0,90071992.55,0.002389,0.002231,0.0025,0.00216,99837.75,226.95980135,0.578001467972,0.53397121125,0.58197122455,0.524287600774,458003.57153878926,254424.07737494,0.5555067540633628,196.0
2020-07-16,9197.60000000,9226.15000000,9047.25000000,9133.72000000,43375.57119100,681807,20410.13000900,238.59000000,239.39000000,230.02000000,233.57000000,587161.73894000,222138,284514.03969000,2.7670116110564536e+19,45,6.148914691236563e+17,34.56,9.223372036854776e+18,0.002244,0.00228,0.002365,0.00205,128257.64,282.00167935,0.533346859856,0.53295368288,0.55833491482,0.517381197976,494885.9665169839,263612.880683885,0.5326739865735072,109.0
2020-07-17,9133.72000000,9186.83000000,9089.81000000,9154.32000000,28054.35874100,470991,13397.53780500,233.58000000,234.84000000,231.65000000,232.67000000,325600.21444000,149088,159858.08306000,188191.02999999997,41,4590.025121951218,0.47,59995.39,0.002272,0.002188,0.002349,0.002012,100210.37,222.70750692,0.533745137591,0.494646540535,0.536322207871,0.494178733652,571311.6701740624,299774.253024696,0.5247122869612717,85.0
2020-07-18,9154.31000000,9219.30000000,9121.10000000,9170.28000000,22554.54145700,430377,11502.70482900,232.66000000,236.80000000,232.32000000,235.67000000,341356.61820000,136494,168653.68252000,4132695.5200000005,78,52983.2758974359,1.0,2000000.0,0.002166,0.001591,0.002345,0.001567,111762.28,215.99844126,0.493935229834,0.38427805024,0.503526271888,0.373083769482,754202.8324764124,356880.112717835,0.4731885075875744,435.0
2020-07-19,9170.30000000,9232.27000000,9101.35000000,9208.99000000,26052.01941700,440449,12873.37349300,235.67000000,239.92000000,233.28000000,239.11000000,348803.52073000,144896,177800.65726000,5.000000000000001e+21,190,2.6315789473684218e+19,2.5,5e+21,0.001595,0.001873,0.002133,0.001501,91186.71,156.45005385,0.384640025095,0.433351737511,0.457155484826,0.362350409038,1161273.4556039462,468833.028180051,0.40372319363506326,438.0
2020-07-20,9208.99000000,9221.52000000,9131.00000000,9160.78000000,35458.76408200,557096,16527.69288600,239.12000000,239.72000000,234.05000000,236.01000000,396657.91938000,164435,193222.00995000,549923.9600000002,108,5091.88851851852,20.0,100000.0,0.001885,0.001798,0.002241,0.001491,108508.27,194.00569486,0.432757436671,0.441070395459,0.463927838596,0.408660832469,959932.954268209,414783.858910007,0.4320966970304832,177.0
2020-07-21,9160.78000000,9437.73000000,9152.80000000,9390.00000000,60413.58248600,782959,29470.51205100,236.00000000,246.66000000,235.57000000,245.59000000,637462.08074000,240019,335588.62905000,613093.2300000001,84,7298.72892857143,15.2,306009.76,0.001787,0.001838,0.002063,0.001472,89880.83,162.39624349,0.433883008758,0.445339366003,0.461673275793,0.410439191661,805797.965833688,351281.086192771,0.4359418875292536,262.0
